years_of_experience,functional_competency_score,top1_skills_score,behavior_competency_score,top1_behavior_skill_score,call_for_interview
0.333333333,0.749497778,0.777777778,0.769230769,0.931689359,Yes
0.133333333,0.490637778,0.777777778,0.153846154,0.352092743,No
0,0.460255556,0.444444444,0.051282051,0.052347023,No
0,0.507346667,0.555555556,0.384615385,0.309913221,No
0.4,0.66202,0.666666667,0.461538462,0.497928738,Yes
0.8,0.585157778,1,0.871794872,0.759200003,Yes
0.333333333,0.691946667,0.888888889,0.461538462,0.495587553,Yes
0,0.477886667,0.333333333,0.512820513,0.365087223,No
0.266666667,0.662735556,0.888888889,0.538461538,0.482059551,Yes
0.066666667,0.492875556,0.888888889,0.205128205,0.390003163,No
0.066666667,0.546535556,0.222222222,0.128205128,0.27439757,No
0,0.501477778,0.333333333,0.230769231,0.409270922,No
0,0.591208889,0.666666667,0.230769231,0.382344485,No
0.2,0.457837778,0.666666667,0.256410256,0.280428722,Yes
0.2,0.345197778,0.666666667,0.307692308,0.331345984,No
0,0.577046667,0.333333333,0.333333333,0.390495913,Yes
0,0.479308889,0.666666667,0.282051282,0.238107017,No
0.466666667,0.9071,1,0.974358974,0.940535992,Yes
0.8,0.726575556,1,0.948717949,0.800588389,Yes
0.866666667,0.695635556,1,0.769230769,0.767704228,Yes
0.4,0.222222222,0.888888889,0.538461538,0.282661653,Yes
0.2,0.41524,0.666666667,0.230769231,0.323464764,No
0,0.472764444,0.444444444,0.205128205,0.199371712,No
0.133333333,0.420657778,0.666666667,0.179487179,0.35091529,No
0.266666667,0.66708,0.888888889,0.564102564,0.502205577,Yes
0.466666667,0,1,0.512820513,0.358973876,Yes
0.266666667,0.72954,0.888888889,0.641025641,0.575499309,Yes
0,0.464048889,0.444444444,0.384615385,0.336341264,No
0,0.579955556,0.555555556,0.230769231,0.293095517,No
0.266666667,0.727248889,0.888888889,0.615384615,0.729778337,Yes
0,0.72304,0.555555556,0.512820513,0.582931372,Yes
0,0.528664444,0.777777778,0.179487179,0.297097941,Yes
0.466666667,0.111111111,1,0.820512821,0.594132212,Yes
0.2,0.532684444,0.333333333,0,0.023633077,No
0.266666667,0.661157778,0.666666667,0.58974359,0.550049109,No
0.666666667,0.816048889,1,0.871794872,0.831506352,Yes
0.466666667,0.77166,1,0.666666667,0.653948554,Yes
0.333333333,0.656655556,0.777777778,0.692307692,0.761652697,Yes
0.133333333,0.531686667,0.333333333,0.282051282,0.415091141,No
0.2,1,0.777777778,0.230769231,0.518290658,Yes
